IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTY100,NIFTY 100,Broad Market,2015-12-31,2015-12-31,8090.9,21.6
NIFTY100,NIFTY 100,Broad Market,2016-03-31,2016-03-31,7832.15,21.06
NIFTY100,NIFTY 100,Broad Market,2016-06-30,2016-06-30,8416.2,23.18
NIFTY100,NIFTY 100,Broad Market,2016-09-30,2016-09-30,8844.2,24.34
NIFTY100,NIFTY 100,Broad Market,2016-12-31,2016-12-30,8382.5,22.4
NIFTY100,NIFTY 100,Broad Market,2017-03-31,2017-03-31,9467.1,23.81
NIFTY100,NIFTY 100,Broad Market,2017-06-30,2017-06-30,9835.4,24.68
NIFTY100,NIFTY 100,Broad Market,2017-09-30,2017-09-29,10143.9,26.32
NIFTY100,NIFTY 100,Broad Market,2017-12-31,2017-12-29,10985.15,28.32
NIFTY100,NIFTY 100,Broad Market,2018-03-31,2018-03-28,10478.4,25.87
NIFTY100,NIFTY 100,Broad Market,2018-06-30,2018-06-29,10993.45,27.34
NIFTY100,NIFTY 100,Broad Market,2018-09-30,2018-09-28,11126.4,27.58
NIFTY100,NIFTY 100,Broad Market,2018-12-31,2018-12-31,11110.15,27.59
NIFTY100,NIFTY 100,Broad Market,2019-03-31,2019-03-29,11789.2,30.46
NIFTY100,NIFTY 100,Broad Market,2019-06-30,2019-06-28,11882.1,30.43
NIFTY100,NIFTY 100,Broad Market,2019-09-30,2019-09-30,11613.3,27.58
NIFTY100,NIFTY 100,Broad Market,2019-12-31,2019-12-31,12267.75,30.68
NIFTY100,NIFTY 100,Broad Market,2020-03-31,2020-03-31,8731.15,21.34
NIFTY100,NIFTY 100,Broad Market,2020-06-30,2020-06-30,10486.9,26.89
NIFTY100,NIFTY 100,Broad Market,2020-09-30,2020-09-30,11385.2,33.06
NIFTY100,NIFTY 100,Broad Market,2020-12-31,2020-12-31,14090.75,38.79
NIFTY100,NIFTY 100,Broad Market,2021-03-31,2021-03-31,14807.45,34.36
